Year,Month,Region,Pounds,Trips
1989,10,APALACHICOLA BAY AREA,62585,2036
1989,10,REST OF FL EAST,4950,83
1989,10,REST OF FL WEST,8077,199
1989,10,ST. AUGUSTINE AREA,3360,52
1989,10,SUWANNEE AREA,119985,2064
1989,11,APALACHICOLA BAY AREA,64369,1915
1989,11,REST OF FL EAST,13325,225
1989,11,REST OF FL WEST,12726,251
1989,11,ST. AUGUSTINE AREA,10008,130
1989,11,SUWANNEE AREA,115823,1838
1989,12,APALACHICOLA BAY AREA,102544,1944
1989,12,REST OF FL EAST,12699,227
1989,12,REST OF FL WEST,8064,171
1989,12,ST. AUGUSTINE AREA,9949,121
1989,12,SUWANNEE AREA,89872,1148
1990,1,APALACHICOLA BAY AREA,143965,2535
1990,1,REST OF FL EAST,24367,393
1990,1,REST OF FL WEST,8950,160
1990,1,ST. AUGUSTINE AREA,13945,139
1990,1,SUWANNEE AREA,69492,1492
1990,2,APALACHICOLA BAY AREA,71034,1297
1990,2,REST OF FL EAST,14354,260
1990,2,REST OF FL WEST,6040,127
1990,2,ST. AUGUSTINE AREA,9923,118
1990,2,SUWANNEE AREA,36569,1019
1990,3,APALACHICOLA BAY AREA,77504,1199
1990,3,REST OF FL EAST,9242,187
1990,3,REST OF FL WEST,12016,179
1990,3,ST. AUGUSTINE AREA,13098,153
1990,3,SUWANNEE AREA,37405,955
1990,4,APALACHICOLA BAY AREA,141102,2264
1990,4,REST OF FL EAST,6965,139
1990,4,REST OF FL WEST,8188,128
1990,4,ST. AUGUSTINE AREA,13766,159
1990,4,SUWANNEE AREA,35226,827
1990,5,APALACHICOLA BAY AREA,151593,2429
1990,5,REST OF FL EAST,4501,109
1990,5,REST OF FL WEST,10847,166
1990,5,ST. AUGUSTINE AREA,6366,86
1990,5,SUWANNEE AREA,31536,566
1990,6,APALACHICOLA BAY AREA,147137,2412
1990,6,REST OF FL EAST,971,22
1990,6,REST OF FL WEST,6304,97
1990,6,ST. AUGUSTINE AREA,932,29
1990,7,APALACHICOLA BAY AREA,188294,2852
1990,7,REST OF FL EAST,413,7
1990,7,REST OF FL WEST,7612,108
1990,7,ST. AUGUSTINE AREA,860,14
1990,7,SUWANNEE AREA,126,2
1990,8,APALACHICOLA BAY AREA,123902,2433
1990,8,REST OF FL EAST,446,15
1990,8,REST OF FL WEST,1541,19
1990,8,ST. AUGUSTINE AREA,847,14
1990,8,SUWANNEE AREA,32,2
1990,9,APALACHICOLA BAY AREA,53581,1379
1990,9,REST OF FL EAST,6281,149
1990,9,REST OF FL WEST,12228,211
1990,9,ST. AUGUSTINE AREA,10858,146
1990,9,SUWANNEE AREA,58756,1427
1990,10,APALACHICOLA BAY AREA,149423,2960
1990,10,REST OF FL EAST,5459,122
1990,10,REST OF FL WEST,20095,368
1990,10,ST. AUGUSTINE AREA,12280,153
1990,10,SUWANNEE AREA,37940,1016
1990,11,APALACHICOLA BAY AREA,128766,2632
1990,11,REST OF FL EAST,8494,214
1990,11,REST OF FL WEST,28405,484
1990,11,ST. AUGUSTINE AREA,11996,190
1990,11,SUWANNEE AREA,32821,778
1990,12,APALACHICOLA BAY AREA,148383,2699
1990,12,REST OF FL EAST,6494,163
1990,12,REST OF FL WEST,39480,586
1990,12,ST. AUGUSTINE AREA,13453,178
1990,12,SUWANNEE AREA,27876,583
1991,1,APALACHICOLA BAY AREA,130133,2347
1991,1,REST OF FL EAST,5445,120
1991,1,REST OF FL WEST,38050,543
1991,1,ST. AUGUSTINE AREA,13794,180
1991,1,SUWANNEE AREA,20031,507
1991,2,APALACHICOLA BAY AREA,137815,2435
1991,2,REST OF FL EAST,3461,92
1991,2,REST OF FL WEST,35169,502
1991,2,ST. AUGUSTINE AREA,13326,168
1991,2,SUWANNEE AREA,38058,603
1991,3,APALACHICOLA BAY AREA,89505,1510
1991,3,REST OF FL EAST,3010,70
1991,3,REST OF FL WEST,23811,306
1991,3,ST. AUGUSTINE AREA,13840,197
1991,3,SUWANNEE AREA,18683,458
1991,4,APALACHICOLA BAY AREA,130039,2220
1991,4,REST OF FL EAST,1820,39
1991,4,REST OF FL WEST,39221,569
1991,4,ST. AUGUSTINE AREA,11672,174
1991,4,SUWANNEE AREA,10642,282
1991,5,APALACHICOLA BAY AREA,105472,1992
1991,5,REST OF FL EAST,1313,28
1991,5,REST OF FL WEST,27526,444
1991,5,ST. AUGUSTINE AREA,7034,115
1991,5,SUWANNEE AREA,6336,147
1991,6,APALACHICOLA BAY AREA,101510,2042
1991,6,REST OF FL EAST,440,9
1991,6,REST OF FL WEST,32284,534
1991,6,ST. AUGUSTINE AREA,1240,56
1991,6,SUWANNEE AREA,325,6
1991,7,APALACHICOLA BAY AREA,125765,2038
1991,7,REST OF FL EAST,341,8
1991,7,REST OF FL WEST,33974,477
1991,7,ST. AUGUSTINE AREA,560,18
1991,8,APALACHICOLA BAY AREA,87371,1726
1991,8,REST OF FL EAST,217,5
1991,8,REST OF FL WEST,18845,318
1991,8,ST. AUGUSTINE AREA,374,12
1991,9,APALACHICOLA BAY AREA,53436,1294
1991,9,REST OF FL EAST,164,4
1991,9,REST OF FL WEST,14488,341
1991,9,ST. AUGUSTINE AREA,524,13
1991,9,SUWANNEE AREA,18732,393
1991,10,APALACHICOLA BAY AREA,93245,2154
1991,10,REST OF FL EAST,1385,28
1991,10,REST OF FL WEST,33749,610
1991,10,ST. AUGUSTINE AREA,7523,203
1991,10,SUWANNEE AREA,17257,350
1991,11,APALACHICOLA BAY AREA,90467,1975
1991,11,REST OF FL EAST,11062,67
1991,11,REST OF FL WEST,28293,578
1991,11,ST. AUGUSTINE AREA,8840,191
1991,11,SUWANNEE AREA,12405,222
1991,12,APALACHICOLA BAY AREA,125364,2339
1991,12,REST OF FL EAST,9954,154
1991,12,REST OF FL WEST,43779,692
1991,12,ST. AUGUSTINE AREA,8038,145
1991,12,SUWANNEE AREA,10503,246
1992,1,APALACHICOLA BAY AREA,132442,2409
1992,1,REST OF FL EAST,10450,201
1992,1,REST OF FL WEST,34769,519
1992,1,ST. AUGUSTINE AREA,7916,156
1992,1,SUWANNEE AREA,9979,279
1992,2,APALACHICOLA BAY AREA,122940,1985
1992,2,REST OF FL EAST,5782,136
1992,2,REST OF FL WEST,28701,465
1992,2,ST. AUGUSTINE AREA,8721,167
1992,2,SUWANNEE AREA,9234,235
1992,3,APALACHICOLA BAY AREA,157724,2313
1992,3,REST OF FL EAST,1673,44
1992,3,REST OF FL WEST,56556,698
1992,3,ST. AUGUSTINE AREA,10010,200
1992,3,SUWANNEE AREA,7531,222
1992,4,APALACHICOLA BAY AREA,152168,2316
1992,4,REST OF FL EAST,1365,49
1992,4,REST OF FL WEST,58043,737
1992,4,ST. AUGUSTINE AREA,5577,107
1992,4,SUWANNEE AREA,3363,115
1992,5,APALACHICOLA BAY AREA,126862,1975
1992,5,REST OF FL EAST,1709,55
1992,5,REST OF FL WEST,54167,687
1992,5,ST. AUGUSTINE AREA,3084,78
1992,5,SUWANNEE AREA,1355,43
1992,6,APALACHICOLA BAY AREA,136715,2368
1992,6,REST OF FL EAST,39,1
1992,6,REST OF FL WEST,49084,715
1992,6,ST. AUGUSTINE AREA,1772,59
1992,7,APALACHICOLA BAY AREA,154081,2140
1992,7,REST OF FL WEST,45187,535
1992,7,ST. AUGUSTINE AREA,1345,24
1992,8,APALACHICOLA BAY AREA,112930,1750
1992,8,REST OF FL WEST,28783,387
1992,8,ST. AUGUSTINE AREA,2172,35
1992,9,APALACHICOLA BAY AREA,92358,1476
1992,9,REST OF FL EAST,692,3
1992,9,REST OF FL WEST,29928,434
1992,9,ST. AUGUSTINE AREA,1660,37
1992,9,SUWANNEE AREA,19296,327
1992,10,APALACHICOLA BAY AREA,241635,3032
1992,10,REST OF FL EAST,2373,41
1992,10,REST OF FL WEST,79930,959
1992,10,ST. AUGUSTINE AREA,10251,239
1992,10,SUWANNEE AREA,15190,275
1992,11,APALACHICOLA BAY AREA,225675,2873
1992,11,REST OF FL EAST,3452,59
1992,11,REST OF FL WEST,53616,596
1992,11,ST. AUGUSTINE AREA,9772,196
1992,11,SUWANNEE AREA,13389,220
1992,12,APALACHICOLA BAY AREA,209675,2612
1992,12,REST OF FL EAST,5204,81
1992,12,REST OF FL WEST,42846,481
1992,12,ST. AUGUSTINE AREA,15398,262
1992,12,SUWANNEE AREA,11576,216
1993,1,APALACHICOLA BAY AREA,129382,1656
1993,1,REST OF FL EAST,1719,38
1993,1,REST OF FL WEST,40699,438
1993,1,ST. AUGUSTINE AREA,8341,165
1993,1,SUWANNEE AREA,12800,247
1993,2,APALACHICOLA BAY AREA,169182,2041
1993,2,REST OF FL EAST,3682,71
1993,2,REST OF FL WEST,58111,543
1993,2,ST. AUGUSTINE AREA,8643,159
1993,2,SUWANNEE AREA,10990,187
1993,3,APALACHICOLA BAY AREA,180058,1959
1993,3,REST OF FL EAST,2278,45
1993,3,REST OF FL WEST,56828,508
1993,3,ST. AUGUSTINE AREA,10350,201
1993,3,SUWANNEE AREA,5416,81
1993,4,APALACHICOLA BAY AREA,153569,1980
1993,4,REST OF FL EAST,871,21
1993,4,REST OF FL WEST,36596,365
1993,4,ST. AUGUSTINE AREA,8315,169
1993,4,SUWANNEE AREA,4545,64
1993,5,APALACHICOLA BAY AREA,166526,2153
1993,5,REST OF FL EAST,1052,26
1993,5,REST OF FL WEST,32293,284
1993,5,ST. AUGUSTINE AREA,4435,99
1993,5,SUWANNEE AREA,1763,22
1993,6,APALACHICOLA BAY AREA,160657,2166
1993,6,REST OF FL EAST,742,16
1993,6,REST OF FL WEST,51752,506
1993,6,ST. AUGUSTINE AREA,7941,127
1993,7,APALACHICOLA BAY AREA,138798,1925
1993,7,REST OF FL WEST,44233,432
1993,7,ST. AUGUSTINE AREA,492,12
1993,7,SUWANNEE AREA,39,1
1993,8,APALACHICOLA BAY AREA,109193,1544
1993,8,REST OF FL EAST,39,1
1993,8,REST OF FL WEST,22182,242
1993,8,ST. AUGUSTINE AREA,564,15
1993,9,APALACHICOLA BAY AREA,83743,1303
1993,9,REST OF FL EAST,66,2
1993,9,REST OF FL WEST,31437,415
1993,9,ST. AUGUSTINE AREA,505,14
1993,9,SUWANNEE AREA,4980,82
1993,10,APALACHICOLA BAY AREA,208879,2466
1993,10,REST OF FL EAST,1372,16
1993,10,REST OF FL WEST,75399,776
1993,10,ST. AUGUSTINE AREA,5418,119
1993,10,SUWANNEE AREA,9034,144
1993,11,APALACHICOLA BAY AREA,271097,2978
1993,11,REST OF FL EAST,2836,33
1993,11,REST OF FL WEST,74917,696
1993,11,ST. AUGUSTINE AREA,7170,124
1993,11,SUWANNEE AREA,9473,147
1993,12,APALACHICOLA BAY AREA,251571,2702
1993,12,REST OF FL EAST,2205,39
1993,12,REST OF FL WEST,83788,728
1993,12,ST. AUGUSTINE AREA,9777,140
1993,12,SUWANNEE AREA,9850,200
1994,1,APALACHICOLA BAY AREA,232722,2531
1994,1,REST OF FL EAST,640,16
1994,1,REST OF FL WEST,73024,619
1994,1,ST. AUGUSTINE AREA,9496,139
1994,1,SUWANNEE AREA,8835,178
1994,2,APALACHICOLA BAY AREA,208652,2151
1994,2,REST OF FL EAST,2762,49
1994,2,REST OF FL WEST,60825,495
1994,2,ST. AUGUSTINE AREA,6905,133
1994,2,SUWANNEE AREA,8827,175
1994,3,APALACHICOLA BAY AREA,201347,2323
1994,3,REST OF FL EAST,2065,46
1994,3,REST OF FL WEST,70440,658
1994,3,ST. AUGUSTINE AREA,8140,149
1994,3,SUWANNEE AREA,9740,175
1994,4,APALACHICOLA BAY AREA,185255,2241
1994,4,REST OF FL EAST,1387,27
1994,4,REST OF FL WEST,83394,778
1994,4,ST. AUGUSTINE AREA,8302,153
1994,4,SUWANNEE AREA,7374,135
1994,5,APALACHICOLA BAY AREA,195790,2415
1994,5,REST OF FL EAST,683,20
1994,5,REST OF FL WEST,41385,339
1994,5,ST. AUGUSTINE AREA,3944,82
1994,5,SUWANNEE AREA,3697,70
1994,6,APALACHICOLA BAY AREA,165745,2276
1994,6,REST OF FL EAST,761,17
1994,6,REST OF FL WEST,44722,491
1994,6,ST. AUGUSTINE AREA,2632,60
1994,7,APALACHICOLA BAY AREA,32693,305
1994,7,REST OF FL EAST,112,2
1994,7,REST OF FL WEST,3418,42
1994,7,ST. AUGUSTINE AREA,512,15
1994,8,APALACHICOLA BAY AREA,3041,28
1994,8,ST. AUGUSTINE AREA,273,11
1994,9,APALACHICOLA BAY AREA,13172,99
1994,9,REST OF FL EAST,66,1
1994,9,ST. AUGUSTINE AREA,1608,44
1994,9,SUWANNEE AREA,13176,176
1994,10,APALACHICOLA BAY AREA,12067,79
1994,10,REST OF FL EAST,1227,29
1994,10,REST OF FL WEST,642,5
1994,10,ST. AUGUSTINE AREA,6169,187
1994,10,SUWANNEE AREA,14823,236
1994,11,APALACHICOLA BAY AREA,77421,1067
1994,11,REST OF FL EAST,2144,31
1994,11,REST OF FL WEST,13322,170
1994,11,ST. AUGUSTINE AREA,5637,119
1994,11,SUWANNEE AREA,18164,265
1994,12,APALACHICOLA BAY AREA,152621,1868
1994,12,REST OF FL EAST,26025,47
1994,12,REST OF FL WEST,35239,369
1994,12,ST. AUGUSTINE AREA,8681,169
1994,12,SUWANNEE AREA,18375,246
1995,1,APALACHICOLA BAY AREA,97166,1269
1995,1,REST OF FL EAST,1296,26
1995,1,REST OF FL WEST,21835,237
1995,1,ST. AUGUSTINE AREA,8097,130
1995,1,SUWANNEE AREA,10442,185
1995,2,APALACHICOLA BAY AREA,118881,1506
1995,2,REST OF FL EAST,3117,46
1995,2,REST OF FL WEST,27790,315
1995,2,ST. AUGUSTINE AREA,6747,113
1995,2,SUWANNEE AREA,7058,130
1995,3,APALACHICOLA BAY AREA,123640,1539
1995,3,REST OF FL EAST,5147,75
1995,3,REST OF FL WEST,41279,438
1995,3,ST. AUGUSTINE AREA,3875,91
1995,3,SUWANNEE AREA,10792,162
1995,4,APALACHICOLA BAY AREA,105792,1326
1995,4,REST OF FL EAST,1507,36
1995,4,REST OF FL WEST,34796,327
1995,4,ST. AUGUSTINE AREA,2625,61
1995,4,SUWANNEE AREA,7202,95
1995,5,APALACHICOLA BAY AREA,121301,1708
1995,5,REST OF FL EAST,295,8
1995,5,REST OF FL WEST,33505,351
1995,5,ST. AUGUSTINE AREA,3189,53
1995,6,APALACHICOLA BAY AREA,81390,1151
1995,6,REST OF FL EAST,242,5
1995,6,REST OF FL WEST,29270,293
1995,6,ST. AUGUSTINE AREA,3176,47
1995,7,APALACHICOLA BAY AREA,60676,777
1995,7,REST OF FL WEST,23038,288
1995,7,ST. AUGUSTINE AREA,761,20
1995,8,APALACHICOLA BAY AREA,24247,292
1995,8,REST OF FL WEST,5423,91
1995,8,ST. AUGUSTINE AREA,520,12
1995,9,APALACHICOLA BAY AREA,191,1
1995,9,REST OF FL WEST,5637,49
1995,9,ST. AUGUSTINE AREA,243,11
1995,9,SUWANNEE AREA,11713,169
1995,10,APALACHICOLA BAY AREA,65079,752
1995,10,REST OF FL EAST,804,11
1995,10,REST OF FL WEST,22746,212
1995,10,ST. AUGUSTINE AREA,4657,109
1995,10,SUWANNEE AREA,4041,83
1995,11,APALACHICOLA BAY AREA,130846,1379
1995,11,REST OF FL EAST,3110,48
1995,11,REST OF FL WEST,53130,523
1995,11,ST. AUGUSTINE AREA,3655,84
1995,11,SUWANNEE AREA,4967,105
1995,12,APALACHICOLA BAY AREA,104108,1132
1995,12,REST OF FL EAST,532,13
1995,12,REST OF FL WEST,62032,577
1995,12,ST. AUGUSTINE AREA,4850,84
1995,12,SUWANNEE AREA,4092,90
1996,1,APALACHICOLA BAY AREA,154644,1662
1996,1,REST OF FL EAST,696,14
1996,1,REST OF FL WEST,56537,508
1996,1,ST. AUGUSTINE AREA,3668,77
1996,1,SUWANNEE AREA,7737,156
1996,2,APALACHICOLA BAY AREA,88493,1054
1996,2,REST OF FL EAST,3263,73
1996,2,REST OF FL WEST,23341,201
1996,2,ST. AUGUSTINE AREA,1914,52
1996,2,SUWANNEE AREA,11128,171
1996,3,APALACHICOLA BAY AREA,81517,986
1996,3,REST OF FL EAST,3196,78
1996,3,REST OF FL WEST,23123,249
1996,3,ST. AUGUSTINE AREA,272,34
1996,3,SUWANNEE AREA,4284,62
1996,4,APALACHICOLA BAY AREA,91659,1033
1996,4,REST OF FL EAST,1512,40
1996,4,REST OF FL WEST,23219,220
1996,4,ST. AUGUSTINE AREA,1046,26
1996,4,SUWANNEE AREA,2989,37
1996,5,APALACHICOLA BAY AREA,93654,1077
1996,5,REST OF FL EAST,368,17
1996,5,REST OF FL WEST,21002,206
1996,5,ST. AUGUSTINE AREA,459,10
1996,5,SUWANNEE AREA,502,7
1996,6,APALACHICOLA BAY AREA,14174,112
1996,6,REST OF FL EAST,72,3
1996,6,REST OF FL WEST,5779,51
1996,6,ST. AUGUSTINE AREA,584,14
1996,7,APALACHICOLA BAY AREA,28421,365
1996,7,REST OF FL WEST,16020,179
1996,7,ST. AUGUSTINE AREA,610,15
1996,8,APALACHICOLA BAY AREA,31790,405
1996,8,REST OF FL WEST,17257,175
1996,8,ST. AUGUSTINE AREA,322,14
1996,9,APALACHICOLA BAY AREA,33785,435
1996,9,REST OF FL EAST,66,1
1996,9,REST OF FL WEST,19930,230
1996,9,ST. AUGUSTINE AREA,63,2
1996,9,SUWANNEE AREA,6231,91
1996,10,APALACHICOLA BAY AREA,92145,1026
1996,10,REST OF FL EAST,1857,39
1996,10,REST OF FL WEST,40618,438
1996,10,ST. AUGUSTINE AREA,2048,50
1996,10,SUWANNEE AREA,9710,125
1996,11,APALACHICOLA BAY AREA,111858,1109
1996,11,REST OF FL EAST,2601,49
1996,11,REST OF FL WEST,45999,407
1996,11,ST. AUGUSTINE AREA,4129,88
1996,11,SUWANNEE AREA,14283,208
1996,12,APALACHICOLA BAY AREA,158411,1275
1996,12,REST OF FL EAST,2904,60
1996,12,REST OF FL WEST,62861,571
1996,12,ST. AUGUSTINE AREA,6099,109
1996,12,SUWANNEE AREA,16570,239
1997,1,APALACHICOLA BAY AREA,127225,1343
1997,1,REST OF FL EAST,3584,78
1997,1,REST OF FL WEST,51060,486
1997,1,ST. AUGUSTINE AREA,4549,90
1997,1,SUWANNEE AREA,17697,266
1997,2,APALACHICOLA BAY AREA,97924,1140
1997,2,REST OF FL EAST,3940,78
1997,2,REST OF FL WEST,32433,314
1997,2,ST. AUGUSTINE AREA,4867,83
1997,2,SUWANNEE AREA,20582,302
1997,3,APALACHICOLA BAY AREA,104578,1212
1997,3,REST OF FL EAST,2582,56
1997,3,REST OF FL WEST,28519,311
1997,3,ST. AUGUSTINE AREA,3819,67
1997,3,SUWANNEE AREA,13700,204
1997,4,APALACHICOLA BAY AREA,121346,1314
1997,4,REST OF FL EAST,984,27
1997,4,REST OF FL WEST,33037,325
1997,4,ST. AUGUSTINE AREA,1677,34
1997,4,SUWANNEE AREA,12101,176
1997,5,APALACHICOLA BAY AREA,85479,960
1997,5,REST OF FL EAST,195,10
1997,5,REST OF FL WEST,23883,230
1997,5,ST. AUGUSTINE AREA,998,21
1997,5,SUWANNEE AREA,3551,54
1997,6,APALACHICOLA BAY AREA,114831,1206
1997,6,REST OF FL EAST,79,1
1997,6,REST OF FL WEST,24679,235
1997,6,ST. AUGUSTINE AREA,207,4
1997,7,APALACHICOLA BAY AREA,122066,1265
1997,7,REST OF FL WEST,31679,300
1997,8,APALACHICOLA BAY AREA,84566,1019
1997,8,REST OF FL WEST,26159,262
1997,8,SUWANNEE AREA,73,1
1997,9,APALACHICOLA BAY AREA,61110,785
1997,9,REST OF FL WEST,22722,249
1997,9,ST. AUGUSTINE AREA,190,3
1997,9,SUWANNEE AREA,3826,68
1997,10,APALACHICOLA BAY AREA,195411,2054
1997,10,REST OF FL EAST,315,9
1997,10,REST OF FL WEST,42276,447
1997,10,ST. AUGUSTINE AREA,1922,45
1997,10,SUWANNEE AREA,6641,110
1997,11,APALACHICOLA BAY AREA,182513,1911
1997,11,REST OF FL EAST,1746,44
1997,11,REST OF FL WEST,25461,249
1997,11,ST. AUGUSTINE AREA,2196,42
1997,11,SUWANNEE AREA,4068,71
1997,12,APALACHICOLA BAY AREA,123883,1356
1997,12,REST OF FL EAST,1643,48
1997,12,REST OF FL WEST,11118,127
1997,12,ST. AUGUSTINE AREA,1957,41
1997,12,SUWANNEE AREA,5296,84
1998,1,APALACHICOLA BAY AREA,101050,1278
1998,1,REST OF FL EAST,2087,63
1998,1,REST OF FL WEST,1993,21
1998,1,ST. AUGUSTINE AREA,3331,65
1998,1,SUWANNEE AREA,8816,159
1998,2,APALACHICOLA BAY AREA,47305,639
1998,2,REST OF FL EAST,1139,30
1998,2,REST OF FL WEST,1793,22
1998,2,ST. AUGUSTINE AREA,2704,52
1998,2,SUWANNEE AREA,3377,66
1998,3,APALACHICOLA BAY AREA,68909,974
1998,3,REST OF FL EAST,2205,52
1998,3,REST OF FL WEST,2020,28
1998,3,ST. AUGUSTINE AREA,3184,61
1998,3,SUWANNEE AREA,3706,68
1998,4,APALACHICOLA BAY AREA,105085,1186
1998,4,REST OF FL EAST,1273,39
1998,4,REST OF FL WEST,5188,68
1998,4,ST. AUGUSTINE AREA,2741,56
1998,4,SUWANNEE AREA,5111,93
1998,5,APALACHICOLA BAY AREA,117711,1404
1998,5,REST OF FL EAST,728,19
1998,5,REST OF FL WEST,5694,72
1998,5,ST. AUGUSTINE AREA,1361,39
1998,5,SUWANNEE AREA,2650,49
1998,6,APALACHICOLA BAY AREA,115790,1367
1998,6,REST OF FL EAST,453,14
1998,6,REST OF FL WEST,5946,65
1998,6,ST. AUGUSTINE AREA,2015,55
1998,7,APALACHICOLA BAY AREA,136041,1529
1998,7,REST OF FL WEST,4764,34
1998,7,ST. AUGUSTINE AREA,486,14
1998,8,APALACHICOLA BAY AREA,123625,1379
1998,8,REST OF FL WEST,932,11
1998,8,ST. AUGUSTINE AREA,433,15
1998,9,APALACHICOLA BAY AREA,49938,590
1998,9,REST OF FL WEST,1418,21
1998,9,ST. AUGUSTINE AREA,368,13
1998,9,SUWANNEE AREA,5774,78
1998,10,APALACHICOLA BAY AREA,138967,1678
1998,10,REST OF FL EAST,1240,33
1998,10,REST OF FL WEST,6639,90
1998,10,ST. AUGUSTINE AREA,3189,62
1998,10,SUWANNEE AREA,10110,130
1998,11,APALACHICOLA BAY AREA,180830,1938
1998,11,REST OF FL EAST,1371,45
1998,11,REST OF FL WEST,4700,48
1998,11,ST. AUGUSTINE AREA,3767,77
1998,11,SUWANNEE AREA,11526,156
1998,12,APALACHICOLA BAY AREA,198324,2171
1998,12,REST OF FL EAST,1838,56
1998,12,REST OF FL WEST,3632,40
1998,12,ST. AUGUSTINE AREA,4863,94
1998,12,SUWANNEE AREA,12652,163
1999,1,APALACHICOLA BAY AREA,200592,2067
1999,1,REST OF FL EAST,1870,51
1999,1,REST OF FL WEST,3601,38
1999,1,ST. AUGUSTINE AREA,6170,116
1999,1,SUWANNEE AREA,11445,155
1999,2,APALACHICOLA BAY AREA,197050,2132
1999,2,REST OF FL EAST,545,19
1999,2,REST OF FL WEST,1529,25
1999,2,ST. AUGUSTINE AREA,4692,102
1999,2,SUWANNEE AREA,11943,147
1999,3,APALACHICOLA BAY AREA,195668,2086
1999,3,REST OF FL EAST,1463,44
1999,3,REST OF FL WEST,1056,17
1999,3,ST. AUGUSTINE AREA,3964,84
1999,3,SUWANNEE AREA,10942,137
1999,4,APALACHICOLA BAY AREA,175948,1926
1999,4,REST OF FL EAST,958,34
1999,4,REST OF FL WEST,3566,40
1999,4,ST. AUGUSTINE AREA,2297,57
1999,4,SUWANNEE AREA,10148,115
1999,5,APALACHICOLA BAY AREA,146112,1787
1999,5,REST OF FL EAST,459,12
1999,5,REST OF FL WEST,2104,29
1999,5,ST. AUGUSTINE AREA,1778,44
1999,5,SUWANNEE AREA,4753,64
1999,6,APALACHICOLA BAY AREA,164061,1981
1999,6,REST OF FL EAST,158,6
1999,6,REST OF FL WEST,1930,20
1999,6,ST. AUGUSTINE AREA,1142,36
1999,7,APALACHICOLA BAY AREA,138190,1709
1999,7,REST OF FL WEST,243,2
1999,7,ST. AUGUSTINE AREA,597,20
1999,8,APALACHICOLA BAY AREA,122707,1598
1999,8,ST. AUGUSTINE AREA,328,10
1999,9,APALACHICOLA BAY AREA,147724,1883
1999,9,REST OF FL WEST,1778,18
1999,9,ST. AUGUSTINE AREA,236,7
1999,9,SUWANNEE AREA,25038,300
1999,10,APALACHICOLA BAY AREA,221598,2744
1999,10,REST OF FL EAST,938,21
1999,10,REST OF FL WEST,5143,61
1999,10,ST. AUGUSTINE AREA,2389,39
1999,10,SUWANNEE AREA,21050,278
1999,11,APALACHICOLA BAY AREA,203194,2427
1999,11,REST OF FL EAST,1135,31
1999,11,REST OF FL WEST,6241,60
1999,11,ST. AUGUSTINE AREA,2924,57
1999,11,SUWANNEE AREA,20604,269
1999,12,APALACHICOLA BAY AREA,209783,2503
1999,12,REST OF FL EAST,1483,37
1999,12,REST OF FL WEST,4931,54
1999,12,ST. AUGUSTINE AREA,4705,76
1999,12,SUWANNEE AREA,20819,275
2000,1,APALACHICOLA BAY AREA,126226,1563
2000,1,REST OF FL EAST,2776,41
2000,1,REST OF FL WEST,4441,48
2000,1,ST. AUGUSTINE AREA,5801,114
2000,1,SUWANNEE AREA,17199,282
2000,2,APALACHICOLA BAY AREA,154378,1816
2000,2,REST OF FL EAST,1937,39
2000,2,REST OF FL WEST,4402,36
2000,2,ST. AUGUSTINE AREA,5847,103
2000,2,SUWANNEE AREA,16729,257
2000,3,APALACHICOLA BAY AREA,170829,2054
2000,3,REST OF FL EAST,1582,41
2000,3,REST OF FL WEST,6117,33
2000,3,ST. AUGUSTINE AREA,4197,81
2000,3,SUWANNEE AREA,15584,235
2000,4,APALACHICOLA BAY AREA,132170,1623
2000,4,REST OF FL EAST,971,24
2000,4,REST OF FL WEST,6764,45
2000,4,ST. AUGUSTINE AREA,4061,76
2000,4,SUWANNEE AREA,11801,151
2000,5,APALACHICOLA BAY AREA,163912,1976
2000,5,REST OF FL EAST,322,10
2000,5,REST OF FL WEST,4538,21
2000,5,ST. AUGUSTINE AREA,2727,61
2000,5,SUWANNEE AREA,7344,95
2000,6,APALACHICOLA BAY AREA,157548,1806
2000,6,REST OF FL EAST,571,6
2000,6,REST OF FL WEST,3919,27
2000,6,ST. AUGUSTINE AREA,2891,62
2000,7,APALACHICOLA BAY AREA,196126,2058
2000,7,REST OF FL WEST,1251,9
2000,7,ST. AUGUSTINE AREA,512,19
2000,7,SUWANNEE AREA,20,1
2000,8,APALACHICOLA BAY AREA,238398,2630
2000,8,REST OF FL WEST,2594,22
2000,8,ST. AUGUSTINE AREA,551,21
2000,9,APALACHICOLA BAY AREA,117317,1347
2000,9,REST OF FL WEST,1581,11
2000,9,ST. AUGUSTINE AREA,394,11
2000,9,SUWANNEE AREA,16151,265
2000,10,APALACHICOLA BAY AREA,351886,3386
2000,10,REST OF FL EAST,1418,29
2000,10,REST OF FL WEST,12110,120
2000,10,ST. AUGUSTINE AREA,2937,59
2000,10,SUWANNEE AREA,17085,282
2000,11,APALACHICOLA BAY AREA,256402,2663
2000,11,REST OF FL EAST,1936,30
2000,11,REST OF FL WEST,6372,52
2000,11,ST. AUGUSTINE AREA,4551,107
2000,11,SUWANNEE AREA,11258,194
2000,12,APALACHICOLA BAY AREA,265472,2661
2000,12,REST OF FL EAST,131,4
2000,12,REST OF FL WEST,11668,94
2000,12,ST. AUGUSTINE AREA,5565,99
2000,12,SUWANNEE AREA,8966,146
2001,1,APALACHICOLA BAY AREA,294749,2997
2001,1,REST OF FL EAST,858,23
2001,1,REST OF FL WEST,14122,118
