Year,Month,Region,Pounds,Trips
1980,10,APALACHICOLA BAY AREA,551288,0
1980,10,REST OF FL EAST,1417,0
1980,10,REST OF FL WEST,17720,0
1980,10,ST. AUGUSTINE AREA,5940,0
1980,10,SUWANNEE AREA,4878,0
1980,11,APALACHICOLA BAY AREA,575373,0
1980,11,REST OF FL EAST,1509,0
1980,11,REST OF FL WEST,22218,0
1980,11,ST. AUGUSTINE AREA,8243,0
1980,11,SUWANNEE AREA,22356,0
1980,12,APALACHICOLA BAY AREA,867375,0
1980,12,REST OF FL EAST,3414,0
1980,12,REST OF FL WEST,25594,0
1980,12,ST. AUGUSTINE AREA,11959,0
1980,12,SUWANNEE AREA,13887,0
1981,1,APALACHICOLA BAY AREA,842727,0
1981,1,REST OF FL EAST,3000,0
1981,1,REST OF FL WEST,41312,0
1981,1,ST. AUGUSTINE AREA,10781,0
1981,1,SUWANNEE AREA,23700,0
1981,2,APALACHICOLA BAY AREA,681831,0
1981,2,REST OF FL EAST,5756,0
1981,2,REST OF FL WEST,53591,0
1981,2,ST. AUGUSTINE AREA,8444,0
1981,2,SUWANNEE AREA,32311,0
1981,3,APALACHICOLA BAY AREA,829755,0
1981,3,REST OF FL EAST,7737,0
1981,3,REST OF FL WEST,23491,0
1981,3,ST. AUGUSTINE AREA,5421,0
1981,3,SUWANNEE AREA,20694,0
1981,4,APALACHICOLA BAY AREA,854938,0
1981,4,REST OF FL EAST,6365,0
1981,4,REST OF FL WEST,20039,0
1981,4,ST. AUGUSTINE AREA,9784,0
1981,4,SUWANNEE AREA,7770,0
1981,5,APALACHICOLA BAY AREA,454703,0
1981,5,REST OF FL EAST,2164,0
1981,5,REST OF FL WEST,10234,0
1981,5,ST. AUGUSTINE AREA,2156,0
1981,5,SUWANNEE AREA,2026,0
1981,6,APALACHICOLA BAY AREA,479412,0
1981,6,REST OF FL EAST,1969,0
1981,6,REST OF FL WEST,2098,0
1981,6,SUWANNEE AREA,238,0
1981,7,APALACHICOLA BAY AREA,443641,0
1981,7,REST OF FL EAST,1960,0
1981,7,REST OF FL WEST,9747,0
1981,8,APALACHICOLA BAY AREA,366301,0
1981,8,REST OF FL EAST,1400,0
1981,8,REST OF FL WEST,5031,0
1981,9,APALACHICOLA BAY AREA,517333,0
1981,9,REST OF FL EAST,2932,0
1981,9,REST OF FL WEST,21120,0
1981,9,ST. AUGUSTINE AREA,1286,0
1981,9,SUWANNEE AREA,3705,0
1981,10,APALACHICOLA BAY AREA,408450,0
1981,10,REST OF FL EAST,4804,0
1981,10,REST OF FL WEST,16627,0
1981,10,ST. AUGUSTINE AREA,1925,0
1981,10,SUWANNEE AREA,14573,0
1981,11,APALACHICOLA BAY AREA,416824,0
1981,11,REST OF FL EAST,3939,0
1981,11,REST OF FL WEST,27157,0
1981,11,ST. AUGUSTINE AREA,5398,0
1981,11,SUWANNEE AREA,19803,0
1981,12,APALACHICOLA BAY AREA,444944,0
1981,12,REST OF FL EAST,6273,0
1981,12,REST OF FL WEST,43166,0
1981,12,ST. AUGUSTINE AREA,5561,0
1981,12,SUWANNEE AREA,31037,0
1982,1,APALACHICOLA BAY AREA,586250,0
1982,1,REST OF FL EAST,6208,0
1982,1,REST OF FL WEST,55137,0
1982,1,ST. AUGUSTINE AREA,3511,0
1982,1,SUWANNEE AREA,49545,0
1982,2,APALACHICOLA BAY AREA,347432,0
1982,2,REST OF FL EAST,6560,0
1982,2,REST OF FL WEST,78618,0
1982,2,ST. AUGUSTINE AREA,3984,0
1982,2,SUWANNEE AREA,43072,0
1982,3,APALACHICOLA BAY AREA,485459,0
1982,3,REST OF FL EAST,6329,0
1982,3,REST OF FL WEST,51553,0
1982,3,ST. AUGUSTINE AREA,4162,0
1982,3,SUWANNEE AREA,30914,0
1982,4,APALACHICOLA BAY AREA,480036,0
1982,4,REST OF FL EAST,5170,0
1982,4,REST OF FL WEST,45227,0
1982,4,ST. AUGUSTINE AREA,6156,0
1982,4,SUWANNEE AREA,15307,0
1982,5,APALACHICOLA BAY AREA,309897,0
1982,5,REST OF FL EAST,2314,0
1982,5,REST OF FL WEST,25853,0
1982,5,SUWANNEE AREA,6742,0
1982,6,APALACHICOLA BAY AREA,335982,0
1982,6,REST OF FL EAST,1640,0
1982,6,REST OF FL WEST,245,0
1982,7,APALACHICOLA BAY AREA,280768,0
1982,7,REST OF FL EAST,1093,0
1982,7,REST OF FL WEST,1269,0
1982,8,APALACHICOLA BAY AREA,203233,0
1982,8,REST OF FL EAST,875,0
1982,8,REST OF FL WEST,1401,0
1982,9,APALACHICOLA BAY AREA,218800,0
